park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,pm25_max_ug_m3,pm25_exceed_days,hotspot_count
ob_luang,ออบหลวง,เชียงใหม่,2559,2016,9,,,1549,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035391+00:00,1.0,22.595,90.213,176.8,4.636,720,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,10,,,15191,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035400+00:00,1.0,18.353,87.047,106.2,3.094,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,11,,,19046,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035403+00:00,1.0,17.756,84.412,49.3,2.848,720,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2015,12,,,61408,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035406+00:00,1.0,15.752,81.219,30.8,3.467,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,1,,,39480,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035408+00:00,1.0,13.811,70.336,34.8,4.141,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,2,,,15915,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035411+00:00,1.0,16.416,64.8,6.0,4.671,696,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,3,,,7916,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035414+00:00,1.0,21.077,51.819,0.3,5.978,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,4,,,17066,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035416+00:00,1.0,24.379,44.165,2.5,7.211,720,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,5,,,3846,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035418+00:00,1.0,22.342,69.522,157.4,5.035,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,6,,,3542,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035421+00:00,1.0,19.737,89.306,375.8,3.929,720,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,7,,,7152,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035423+00:00,1.0,19.442,89.853,328.5,4.47,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,8,,,5439,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035426+00:00,1.0,19.467,89.642,335.2,4.873,744,,,
huai_nam_dang,ห้วยน้ำดัง,เชียงใหม่,2559,2016,9,,,3758,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035428+00:00,1.0,19.366,89.201,218.3,3.691,720,,,
doi_pha_hom_pok,ดอยผ้าห่มปก,เชียงใหม่,2559,2015,10,,,8520,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035485+00:00,1.0,23.288,87.823,79.2,2.732,744,,,
